crop_name,location,day_1,day_2,day_3,day_4,day_5,day_6,day_7
Brinjal,Agartala,7,7,8,14,14,20,14
Brinjal,Agra,4,4,5,4,5,6,10
Brinjal,Allahabad,6,10,8,6,6,6,6
Brinjal,Bangalore,6,6,6,6,6,8,6
Brinjal,Bhubneshwar,6,5,8,8,10,11,16
Brinjal,Chittoor,10,8,6,8,8,10,8
Brinjal,Coimbatore,10,10,7,10,10,6,8
Brinjal,Delhi,8,10,12,10,10,13,14
Brinjal,Dhanbad,6,7,6,6,6,10,12
Brinjal,Ernakulam,12,10,10,12,10,14,12
Brinjal,Gandhi Nagar,8,8,12,10,12,16,14
Brinjal,Gorakhpur,10,8,8,10,6,5,10
Brinjal,Guntur,4,6,4,5,8,8,8
Brinjal,Hajipur,5,6,9,5,6,8,5
Brinjal,Karnal,12,16,12,12,12,12,15
Brinjal,Khozhikode,10,10,8,12,10,10,10
Brinjal,Kolkata,16,11,11,11,10,9,20
Brinjal,Kurnool,6,7,4,5,9,9,6
Brinjal,Lucknow,8,12,6,10,8,8,12
Brinjal,Muzaffarpur,4,3.5,4.5,6,6,6,5
Brinjal,Nasik,12,11,6,12,10,12,14
Brinjal,Panaji,10,10,10,10,10,10,10
Brinjal,Patna,6,5,7,4,5,3,7
Brinjal,Ranchi,8,8,10,6,6,10,14
Brinjal,Salem,6,8,8,8,8,8,8
Brinjal,Vishakhapatnam,11,12,6,8,10,10,12
Moong,Agartala,31,30,32,32,32,35,34
Moong,Agra,30,30,34,34,34,35,36
Moong,Allahabad,32,30,32,32,32,32,32
Moong,Amritsar,32,32,32,31,32,32,34
Moong,Bangalore,28,28,32,34,32,34,32
Moong,Bhopal,28,28.5,30.5,34,33,34,23
Moong,Bhubneshwar,27,28,27,28,31,29,32
Moong,Chittoor,24,26,28,28,28,30,32
Moong,Coimbatore,29,29,32,32,32,34,37
Moong,Cuttack,25,25,28,26,26,27,30
Brinjal,Tumkur,10,8,6,10,6,8,8
Moong,Delhi,28,30,30,32,27,32,36
Moong,Dhanbad,28,31,28,24,32,32,34
Moong,Dibrugarh,29,30,30,28,30,32,31
Moong,Ernakulam,32,32,32,36,37.5,37.5,37.5
Moong,Gandhi Nagar,24,24,24,26,27,29,32
Moong,Gorakhpur,28,28,28,28,32,28,32
Moong,Guntur,26,26,31,30,29,32,33
Moong,Karnal,28,32,34,34,34,34,34
Moong,Khozhikode,30,30,36,36,37,37,37
Moong,Kolkata,34,31.5,31,31,31,31,34
Moong,Muzaffarpur,27,27,28,28,28,28,28
Moong,Nasik,28,28,32,32,34,35,37
Moong,Panaji,28,32,30,30,30,34,36
Moong,Haldwani,30,30,32,32,34,34,34
Moong,Tumkur,27,28,28,30,31,34,32
Moong,Udaipur,25,25,25,30,30,34,34
Moong,Vadodra,25,26,26,21,29,28,25
Moong,Vishakhapatnam,26,22,28,29,30,30,34
Moong,Aizwal,34,34,34,34,34,34,34
Moong,Shimla,31,30,29,30,35,35,35
Moong,Tirunelveli,24,24,26,24,27,22,34
